km,station,train_id,time,hr,min,scenario
20,SAN BRUNO,REG (C-EXP) 503,339,5,39,Baseline SB
24,MILLBRAE,REG (C-EXP) 503,343,5,43,Baseline SB
31,SAN MATEO,REG (C-EXP) 503,347,5,47,Baseline SB
35,HILLSDALE,REG (C-EXP) 503,352,5,52,Baseline SB
38,BELMONT,REG (C-EXP) 503,355,5,55,Baseline SB
49,MENLO PARK,REG (C-EXP) 503,362,6,2,Baseline SB
51,PALO ALTO,REG (C-EXP) 503,365,6,5,Baseline SB
53,CALIFORNIA AVENUE,REG (C-EXP) 503,368,6,8,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 503,373,6,13,Baseline SB
65,SUNNYVALE,REG (C-EXP) 503,377,6,17,Baseline SB
74,SANTA CLARA,REG (C-EXP) 503,383,6,23,Baseline SB
78,SAN JOSE,REG (C-EXP) 503,390,6,30,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 503,393,6,33,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 1,326,5,26,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 1,331,5,31,Baseline SB
5,22nd STREET,REG (C-EXP) 1,336,5,36,Baseline SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 1,343,5,43,Baseline SB
24,MILLBRAE,REG (C-EXP) 1,348,5,48,Baseline SB
29,BURLINGAME,REG (C-EXP) 1,352,5,52,Baseline SB
31,SAN MATEO,REG (C-EXP) 1,355,5,55,Baseline SB
35,HILLSDALE,REG (C-EXP) 1,358,5,58,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 1,364,6,4,Baseline SB
47,ATHERTON,REG (C-EXP) 1,368,6,8,Baseline SB
51,PALO ALTO,REG (C-EXP) 1,371,6,11,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 1,378,6,18,Baseline SB
68,LAWRENCE,REG (C-EXP) 1,387,6,27,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 803,340,5,40,Baseline SB
24,MILLBRAE,HSR 803,360,6,0,Baseline SB
78,SAN JOSE,HSR 803,395,6,35,Baseline SB
126,GILROY (HSR) $,HSR 803,421,7,1,Baseline SB
78,SAN JOSE,REG (C-EXP) 1,398,6,38,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 1,401,6,41,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 405,343,5,43,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 405,348,5,48,Baseline SB
11,BAYSHORE,REG (C-EXP) 405,359,5,59,Baseline SB
24,MILLBRAE,REG (C-EXP) 405,368,6,8,Baseline SB
27,BROADWAY,REG (C-EXP) 405,371,6,11,Baseline SB
33,HAYWARD PARK,REG (C-EXP) 405,375,6,15,Baseline SB
35,HILLSDALE,REG (C-EXP) 405,378,6,18,Baseline SB
40,SAN CARLOS,REG (C-EXP) 405,382,6,22,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 405,386,6,26,Baseline SB
51,PALO ALTO,REG (C-EXP) 405,391,6,31,Baseline SB
57,SAN ANTONIO,REG (C-EXP) 405,395,6,35,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 405,399,6,39,Baseline SB
65,SUNNYVALE,REG (C-EXP) 405,403,6,43,Baseline SB
68,LAWRENCE,REG (C-EXP) 405,406,6,46,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 903,346,5,46,Baseline SB
2,TOWNSEND / 4TH AND KING $,HSR 903,351,5,51,Baseline SB
78,SAN JOSE,HSR 903,402,6,42,Baseline SB
126,GILROY (HSR) $,HSR 903,427,7,7,Baseline SB
78,SAN JOSE,IC (HSR) 703,408,6,48,Baseline SB
126,GILROY (HSR) $,IC (HSR) 703,433,7,13,Baseline SB
78,SAN JOSE,IC (HSR) 753,414,6,54,Baseline SB
126,GILROY (HSR) $,IC (HSR) 753,439,7,19,Baseline SB
78,SAN JOSE,REG (C-EXP) 405,416,6,56,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 405,419,6,59,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 505,351,5,51,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 505,356,5,56,Baseline SB
5,22nd STREET,REG (C-EXP) 505,361,6,1,Baseline SB
20,SAN BRUNO,REG (C-EXP) 505,369,6,9,Baseline SB
24,MILLBRAE,REG (C-EXP) 505,373,6,13,Baseline SB
31,SAN MATEO,REG (C-EXP) 505,377,6,17,Baseline SB
35,HILLSDALE,REG (C-EXP) 505,382,6,22,Baseline SB
38,BELMONT,REG (C-EXP) 505,385,6,25,Baseline SB
49,MENLO PARK,REG (C-EXP) 505,392,6,32,Baseline SB
51,PALO ALTO,REG (C-EXP) 505,395,6,35,Baseline SB
53,CALIFORNIA AVENUE,REG (C-EXP) 505,398,6,38,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 505,403,6,43,Baseline SB
65,SUNNYVALE,REG (C-EXP) 505,407,6,47,Baseline SB
74,SANTA CLARA,REG (C-EXP) 505,413,6,53,Baseline SB
78,SAN JOSE,REG (C-EXP) 505,420,7,0,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 505,423,7,3,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 2,356,5,56,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 2,361,6,1,Baseline SB
5,22nd STREET,REG (C-EXP) 2,366,6,6,Baseline SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 2,373,6,13,Baseline SB
24,MILLBRAE,REG (C-EXP) 2,378,6,18,Baseline SB
29,BURLINGAME,REG (C-EXP) 2,382,6,22,Baseline SB
31,SAN MATEO,REG (C-EXP) 2,385,6,25,Baseline SB
35,HILLSDALE,REG (C-EXP) 2,388,6,28,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 2,394,6,34,Baseline SB
47,ATHERTON,REG (C-EXP) 2,398,6,38,Baseline SB
51,PALO ALTO,REG (C-EXP) 2,401,6,41,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 2,408,6,48,Baseline SB
68,LAWRENCE,REG (C-EXP) 2,417,6,57,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 805,370,6,10,Baseline SB
24,MILLBRAE,HSR 805,390,6,30,Baseline SB
78,SAN JOSE,HSR 805,425,7,5,Baseline SB
126,GILROY (HSR) $,HSR 805,451,7,31,Baseline SB
78,SAN JOSE,REG (C-EXP) 2,428,7,8,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 2,431,7,11,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 407,373,6,13,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 407,378,6,18,Baseline SB
11,BAYSHORE,REG (C-EXP) 407,389,6,29,Baseline SB
24,MILLBRAE,REG (C-EXP) 407,398,6,38,Baseline SB
27,BROADWAY,REG (C-EXP) 407,401,6,41,Baseline SB
33,HAYWARD PARK,REG (C-EXP) 407,405,6,45,Baseline SB
35,HILLSDALE,REG (C-EXP) 407,408,6,48,Baseline SB
40,SAN CARLOS,REG (C-EXP) 407,412,6,52,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 407,416,6,56,Baseline SB
51,PALO ALTO,REG (C-EXP) 407,421,7,1,Baseline SB
57,SAN ANTONIO,REG (C-EXP) 407,425,7,5,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 407,429,7,9,Baseline SB
65,SUNNYVALE,REG (C-EXP) 407,433,7,13,Baseline SB
68,LAWRENCE,REG (C-EXP) 407,436,7,16,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 905,376,6,16,Baseline SB
2,TOWNSEND / 4TH AND KING $,HSR 905,381,6,21,Baseline SB
78,SAN JOSE,HSR 905,432,7,12,Baseline SB
126,GILROY (HSR) $,HSR 905,457,7,37,Baseline SB
78,SAN JOSE,IC (HSR) 755,444,7,24,Baseline SB
126,GILROY (HSR) $,IC (HSR) 755,469,7,49,Baseline SB
78,SAN JOSE,REG (C-EXP) 407,446,7,26,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 407,449,7,29,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 507,381,6,21,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 507,386,6,26,Baseline SB
5,22nd STREET,REG (C-EXP) 507,391,6,31,Baseline SB
20,SAN BRUNO,REG (C-EXP) 507,399,6,39,Baseline SB
24,MILLBRAE,REG (C-EXP) 507,403,6,43,Baseline SB
31,SAN MATEO,REG (C-EXP) 507,407,6,47,Baseline SB
35,HILLSDALE,REG (C-EXP) 507,412,6,52,Baseline SB
38,BELMONT,REG (C-EXP) 507,415,6,55,Baseline SB
49,MENLO PARK,REG (C-EXP) 507,422,7,2,Baseline SB
51,PALO ALTO,REG (C-EXP) 507,425,7,5,Baseline SB
53,CALIFORNIA AVENUE,REG (C-EXP) 507,428,7,8,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 507,433,7,13,Baseline SB
65,SUNNYVALE,REG (C-EXP) 507,437,7,17,Baseline SB
74,SANTA CLARA,REG (C-EXP) 507,443,7,23,Baseline SB
78,SAN JOSE,REG (C-EXP) 507,450,7,30,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 507,453,7,33,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 3,386,6,26,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 3,391,6,31,Baseline SB
5,22nd STREET,REG (C-EXP) 3,396,6,36,Baseline SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 3,403,6,43,Baseline SB
24,MILLBRAE,REG (C-EXP) 3,408,6,48,Baseline SB
29,BURLINGAME,REG (C-EXP) 3,412,6,52,Baseline SB
31,SAN MATEO,REG (C-EXP) 3,415,6,55,Baseline SB
35,HILLSDALE,REG (C-EXP) 3,418,6,58,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 3,424,7,4,Baseline SB
47,ATHERTON,REG (C-EXP) 3,428,7,8,Baseline SB
51,PALO ALTO,REG (C-EXP) 3,431,7,11,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 3,438,7,18,Baseline SB
68,LAWRENCE,REG (C-EXP) 3,447,7,27,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 807,400,6,40,Baseline SB
24,MILLBRAE,HSR 807,420,7,0,Baseline SB
78,SAN JOSE,HSR 807,455,7,35,Baseline SB
126,GILROY (HSR) $,HSR 807,481,8,1,Baseline SB
78,SAN JOSE,REG (C-EXP) 3,458,7,38,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 3,461,7,41,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 409,403,6,43,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 409,408,6,48,Baseline SB
11,BAYSHORE,REG (C-EXP) 409,419,6,59,Baseline SB
24,MILLBRAE,REG (C-EXP) 409,428,7,8,Baseline SB
27,BROADWAY,REG (C-EXP) 409,431,7,11,Baseline SB
33,HAYWARD PARK,REG (C-EXP) 409,435,7,15,Baseline SB
35,HILLSDALE,REG (C-EXP) 409,438,7,18,Baseline SB
40,SAN CARLOS,REG (C-EXP) 409,442,7,22,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 409,446,7,26,Baseline SB
51,PALO ALTO,REG (C-EXP) 409,451,7,31,Baseline SB
57,SAN ANTONIO,REG (C-EXP) 409,455,7,35,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 409,459,7,39,Baseline SB
65,SUNNYVALE,REG (C-EXP) 409,463,7,43,Baseline SB
68,LAWRENCE,REG (C-EXP) 409,466,7,46,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 907,406,6,46,Baseline SB
2,TOWNSEND / 4TH AND KING $,HSR 907,411,6,51,Baseline SB
78,SAN JOSE,HSR 907,462,7,42,Baseline SB
126,GILROY (HSR) $,HSR 907,487,8,7,Baseline SB
78,SAN JOSE,IC (HSR) 705,468,7,48,Baseline SB
126,GILROY (HSR) $,IC (HSR) 705,493,8,13,Baseline SB
78,SAN JOSE,IC (HSR) 757,474,7,54,Baseline SB
126,GILROY (HSR) $,IC (HSR) 757,499,8,19,Baseline SB
78,SAN JOSE,REG (C-EXP) 409,476,7,56,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 409,479,7,59,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 509,411,6,51,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 509,416,6,56,Baseline SB
5,22nd STREET,REG (C-EXP) 509,421,7,1,Baseline SB
20,SAN BRUNO,REG (C-EXP) 509,429,7,9,Baseline SB
24,MILLBRAE,REG (C-EXP) 509,433,7,13,Baseline SB
31,SAN MATEO,REG (C-EXP) 509,437,7,17,Baseline SB
35,HILLSDALE,REG (C-EXP) 509,442,7,22,Baseline SB
38,BELMONT,REG (C-EXP) 509,445,7,25,Baseline SB
49,MENLO PARK,REG (C-EXP) 509,452,7,32,Baseline SB
51,PALO ALTO,REG (C-EXP) 509,455,7,35,Baseline SB
53,CALIFORNIA AVENUE,REG (C-EXP) 509,458,7,38,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 509,463,7,43,Baseline SB
65,SUNNYVALE,REG (C-EXP) 509,467,7,47,Baseline SB
74,SANTA CLARA,REG (C-EXP) 509,473,7,53,Baseline SB
78,SAN JOSE,REG (C-EXP) 509,480,8,0,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 509,483,8,3,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 4,416,6,56,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 4,421,7,1,Baseline SB
5,22nd STREET,REG (C-EXP) 4,426,7,6,Baseline SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 4,433,7,13,Baseline SB
24,MILLBRAE,REG (C-EXP) 4,438,7,18,Baseline SB
29,BURLINGAME,REG (C-EXP) 4,442,7,22,Baseline SB
31,SAN MATEO,REG (C-EXP) 4,445,7,25,Baseline SB
35,HILLSDALE,REG (C-EXP) 4,448,7,28,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 4,454,7,34,Baseline SB
47,ATHERTON,REG (C-EXP) 4,458,7,38,Baseline SB
51,PALO ALTO,REG (C-EXP) 4,461,7,41,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 4,468,7,48,Baseline SB
68,LAWRENCE,REG (C-EXP) 4,477,7,57,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 809,430,7,10,Baseline SB
24,MILLBRAE,HSR 809,450,7,30,Baseline SB
78,SAN JOSE,HSR 809,485,8,5,Baseline SB
126,GILROY (HSR) $,HSR 809,511,8,31,Baseline SB
78,SAN JOSE,REG (C-EXP) 4,488,8,8,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 4,491,8,11,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 411,433,7,13,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 411,438,7,18,Baseline SB
11,BAYSHORE,REG (C-EXP) 411,449,7,29,Baseline SB
24,MILLBRAE,REG (C-EXP) 411,458,7,38,Baseline SB
27,BROADWAY,REG (C-EXP) 411,461,7,41,Baseline SB
33,HAYWARD PARK,REG (C-EXP) 411,465,7,45,Baseline SB
35,HILLSDALE,REG (C-EXP) 411,468,7,48,Baseline SB
40,SAN CARLOS,REG (C-EXP) 411,472,7,52,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 411,476,7,56,Baseline SB
51,PALO ALTO,REG (C-EXP) 411,481,8,1,Baseline SB
57,SAN ANTONIO,REG (C-EXP) 411,485,8,5,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 411,489,8,9,Baseline SB
65,SUNNYVALE,REG (C-EXP) 411,493,8,13,Baseline SB
68,LAWRENCE,REG (C-EXP) 411,496,8,16,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 909,436,7,16,Baseline SB
2,TOWNSEND / 4TH AND KING $,HSR 909,441,7,21,Baseline SB
78,SAN JOSE,HSR 909,492,8,12,Baseline SB
126,GILROY (HSR) $,HSR 909,517,8,37,Baseline SB
78,SAN JOSE,IC (HSR) 759,504,8,24,Baseline SB
126,GILROY (HSR) $,IC (HSR) 759,529,8,49,Baseline SB
78,SAN JOSE,REG (C-EXP) 411,506,8,26,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 411,509,8,29,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 511,441,7,21,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 511,446,7,26,Baseline SB
5,22nd STREET,REG (C-EXP) 511,451,7,31,Baseline SB
20,SAN BRUNO,REG (C-EXP) 511,459,7,39,Baseline SB
24,MILLBRAE,REG (C-EXP) 511,463,7,43,Baseline SB
31,SAN MATEO,REG (C-EXP) 511,467,7,47,Baseline SB
35,HILLSDALE,REG (C-EXP) 511,472,7,52,Baseline SB
38,BELMONT,REG (C-EXP) 511,475,7,55,Baseline SB
49,MENLO PARK,REG (C-EXP) 511,482,8,2,Baseline SB
51,PALO ALTO,REG (C-EXP) 511,485,8,5,Baseline SB
53,CALIFORNIA AVENUE,REG (C-EXP) 511,488,8,8,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 511,493,8,13,Baseline SB
65,SUNNYVALE,REG (C-EXP) 511,497,8,17,Baseline SB
74,SANTA CLARA,REG (C-EXP) 511,503,8,23,Baseline SB
78,SAN JOSE,REG (C-EXP) 511,510,8,30,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 511,513,8,33,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 5,446,7,26,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 5,451,7,31,Baseline SB
5,22nd STREET,REG (C-EXP) 5,456,7,36,Baseline SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 5,463,7,43,Baseline SB
24,MILLBRAE,REG (C-EXP) 5,468,7,48,Baseline SB
29,BURLINGAME,REG (C-EXP) 5,472,7,52,Baseline SB
31,SAN MATEO,REG (C-EXP) 5,475,7,55,Baseline SB
35,HILLSDALE,REG (C-EXP) 5,478,7,58,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 5,484,8,4,Baseline SB
47,ATHERTON,REG (C-EXP) 5,488,8,8,Baseline SB
51,PALO ALTO,REG (C-EXP) 5,491,8,11,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 5,498,8,18,Baseline SB
68,LAWRENCE,REG (C-EXP) 5,507,8,27,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 811,460,7,40,Baseline SB
24,MILLBRAE,HSR 811,480,8,0,Baseline SB
78,SAN JOSE,HSR 811,515,8,35,Baseline SB
126,GILROY (HSR) $,HSR 811,541,9,1,Baseline SB
78,SAN JOSE,REG (C-EXP) 5,518,8,38,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 5,521,8,41,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 413,463,7,43,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 413,468,7,48,Baseline SB
11,BAYSHORE,REG (C-EXP) 413,479,7,59,Baseline SB
24,MILLBRAE,REG (C-EXP) 413,488,8,8,Baseline SB
27,BROADWAY,REG (C-EXP) 413,491,8,11,Baseline SB
33,HAYWARD PARK,REG (C-EXP) 413,495,8,15,Baseline SB
35,HILLSDALE,REG (C-EXP) 413,498,8,18,Baseline SB
40,SAN CARLOS,REG (C-EXP) 413,502,8,22,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 413,506,8,26,Baseline SB
51,PALO ALTO,REG (C-EXP) 413,511,8,31,Baseline SB
57,SAN ANTONIO,REG (C-EXP) 413,515,8,35,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 413,519,8,39,Baseline SB
65,SUNNYVALE,REG (C-EXP) 413,523,8,43,Baseline SB
68,LAWRENCE,REG (C-EXP) 413,526,8,46,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 911,466,7,46,Baseline SB
2,TOWNSEND / 4TH AND KING $,HSR 911,471,7,51,Baseline SB
78,SAN JOSE,HSR 911,522,8,42,Baseline SB
126,GILROY (HSR) $,HSR 911,547,9,7,Baseline SB
78,SAN JOSE,IC (HSR) 707,528,8,48,Baseline SB
126,GILROY (HSR) $,IC (HSR) 707,553,9,13,Baseline SB
78,SAN JOSE,IC (HSR) 761,534,8,54,Baseline SB
126,GILROY (HSR) $,IC (HSR) 761,559,9,19,Baseline SB
78,SAN JOSE,REG (C-EXP) 413,536,8,56,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 413,539,8,59,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 513,471,7,51,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 513,476,7,56,Baseline SB
5,22nd STREET,REG (C-EXP) 513,481,8,1,Baseline SB
20,SAN BRUNO,REG (C-EXP) 513,489,8,9,Baseline SB
24,MILLBRAE,REG (C-EXP) 513,493,8,13,Baseline SB
31,SAN MATEO,REG (C-EXP) 513,497,8,17,Baseline SB
35,HILLSDALE,REG (C-EXP) 513,502,8,22,Baseline SB
38,BELMONT,REG (C-EXP) 513,505,8,25,Baseline SB
49,MENLO PARK,REG (C-EXP) 513,512,8,32,Baseline SB
51,PALO ALTO,REG (C-EXP) 513,515,8,35,Baseline SB
53,CALIFORNIA AVENUE,REG (C-EXP) 513,518,8,38,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 513,523,8,43,Baseline SB
65,SUNNYVALE,REG (C-EXP) 513,527,8,47,Baseline SB
74,SANTA CLARA,REG (C-EXP) 513,533,8,53,Baseline SB
78,SAN JOSE,REG (C-EXP) 513,540,9,0,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 513,543,9,3,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 6,476,7,56,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 6,481,8,1,Baseline SB
5,22nd STREET,REG (C-EXP) 6,486,8,6,Baseline SB
17,SOUTH SAN FRANCISCO ,REG (C-EXP) 6,493,8,13,Baseline SB
24,MILLBRAE,REG (C-EXP) 6,498,8,18,Baseline SB
29,BURLINGAME,REG (C-EXP) 6,502,8,22,Baseline SB
31,SAN MATEO,REG (C-EXP) 6,505,8,25,Baseline SB
35,HILLSDALE,REG (C-EXP) 6,508,8,28,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 6,514,8,34,Baseline SB
47,ATHERTON,REG (C-EXP) 6,518,8,38,Baseline SB
51,PALO ALTO,REG (C-EXP) 6,521,8,41,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 6,528,8,48,Baseline SB
68,LAWRENCE,REG (C-EXP) 6,537,8,57,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 813,490,8,10,Baseline SB
24,MILLBRAE,HSR 813,510,8,30,Baseline SB
78,SAN JOSE,HSR 813,545,9,5,Baseline SB
126,GILROY (HSR) $,HSR 813,571,9,31,Baseline SB
78,SAN JOSE,REG (C-EXP) 6,548,9,8,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 6,551,9,11,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 415,493,8,13,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 415,498,8,18,Baseline SB
11,BAYSHORE,REG (C-EXP) 415,509,8,29,Baseline SB
24,MILLBRAE,REG (C-EXP) 415,518,8,38,Baseline SB
27,BROADWAY,REG (C-EXP) 415,521,8,41,Baseline SB
33,HAYWARD PARK,REG (C-EXP) 415,525,8,45,Baseline SB
35,HILLSDALE,REG (C-EXP) 415,528,8,48,Baseline SB
40,SAN CARLOS,REG (C-EXP) 415,532,8,52,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 415,536,8,56,Baseline SB
51,PALO ALTO,REG (C-EXP) 415,541,9,1,Baseline SB
57,SAN ANTONIO,REG (C-EXP) 415,545,9,5,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 415,549,9,9,Baseline SB
65,SUNNYVALE,REG (C-EXP) 415,553,9,13,Baseline SB
68,LAWRENCE,REG (C-EXP) 415,556,9,16,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 913,496,8,16,Baseline SB
2,TOWNSEND / 4TH AND KING $,HSR 913,501,8,21,Baseline SB
78,SAN JOSE,HSR 913,552,9,12,Baseline SB
126,GILROY (HSR) $,HSR 913,577,9,37,Baseline SB
78,SAN JOSE,IC (HSR) 763,564,9,24,Baseline SB
126,GILROY (HSR) $,IC (HSR) 763,589,9,49,Baseline SB
78,SAN JOSE,REG (C-EXP) 415,566,9,26,Baseline SB
